,Script,Descrizione,tempo_completamento,tool_used
0,1,"Inizializza il tempo attuale, ritorna la lista dei file nella direcotry data e lancia un eccezione se la directory è invalida o non accessibile. Input = File, Formatter, boolean, output = void. Utilizza un ciclo per visualizzare tutti i file. Se c'è una subdir chiama la funzione in maniera ricorsiva. Se il file è più grande del tempo settato lo cancella",03:30:00,True
1,2,"Conversione di un array di interi o float a boolean, input = null, output = boolean[], Utilizza uno switch per distinguere i vari casi di intero e float.",7.41.54,False
2,3,"Restituisce la cache del file passato in input, input = FileFactory, Object, DatasetUrl, buffer_size, CancelTask, spiObject, output = FileCachable. Utilizza librerie come Tracker per rintracciare i file nel filesystem attraverso la location fornita.",6.27.70,False
3,4,"Converte la stringa di comando in vari flag boolean e opzioni, aggiornando possibilmente la locazione del dataset, se richiesto. Input = NetcdFIle, String, Wirter, CancelTask, output = boolean. Come un parser utilizza una serie di if per effettuare la scelta corretta",4.47.75,True
4,2,"Lo script in questione riguarda una funzione ""acquire"", dove lo scopo ultimo è quello di stabilire se un file presente all'interno di una location è utile per esser inserito in cache. Nel caso in cui il file risulta vuoto viene incrementato l'attributo miss del tracker ""t"", atrimenti viene incrementato l'attributo hit del tracher ""t"".-> in output la funzioen restituisce il file aggiunto in cache.",06:25:00,False
5,3,"Lo script in questione riguarda una funzione ""print"", la quale prende in input un file, un comando e un writer per l'output e restituisce in output un valore booleano. In pratica la funzione prende il comando dato in input, lo divide in tanti piccoli token in base agli spazi nella riga di comando e tramite una serie di if, analizza ogni singolo token per poter settare una serie di variabili definite all'inizio della funzione. Inoltre viene posta maggiore attenzione nel caso in cui nel comando ci sia il nome di un dataset. In quel caso la funzione si salva quell'informazione se è presente nel comando, andando anche a modificare se serve la location del file in input tramite funzioni setLocation e getLocation in base al nome del dataset nella linea di comando. --> In output restituisce una variabile booleana ok. ",4.07.00,False
6,0,"Lo script tiene traccia del tempo, crea una lista del contenuto della directory e se risulta invalida e inaccessibile solleva un eccezione. Se una directory risulta vuota o abbastanza vecchia la prova ad eliminare o stampa il risultato. Processa il contenuto della directory ricorsivamente. Nel caso di subdirectory richiama ricorsivamente per arrivare alla root, nel caso dei file invece cancell quelli che superano il threshold settato e stampa il risultato. ",3.31.02,True
7,1,"Lo script inizializza un array per poi cambiargli il tipo. Successivamente con un switch case, vengono gestiti gli array di Int8, Int16, Int32, Int64 e per ognuno di questi converte ogni valore in un booleano. Successivamente farà la stessa cosa nel caso di array di Float32 e Float64. Infine solleva un eccezione nel caso in cui viene dato in pasto un tipo di array non supportato.",2.15.03,True
8,2.java,"Lo switch esamina il tipo di byte presente nell'array e verifica se sia un intero di 8,16,31,64 o un float di 32,64 byte. In base alla quantità di byte, verrà istanziato un array di byte, short, int, long, float, double dove verrà inserito il valore della variabile array. Istanziamo array di booleani ""retval"" di lunghezza dell`array data, scorriamo tutto l'array ed assegniamo a retval[i] il valore di data[i] se maggiore di 0",04:00:00,False
9,4.java,"Se il comando non è nullo, lo dividiamo in token. Se il token è uguale (ignorando lettere maiuscole/minuscole) a ""-help"" scriviamo in output la variabile usage e ritorniamo true. Se token è uguale a ""-vall"", showValues prende il valore di tutti i WantValues. Se token è uguale a ""-c"" e showValues è uguale a WantValues allora showValued prende come valore le coordinate di WantValued. Se token è uguale a "" -ncml"" allora la variabile ncml prende valore true. Se token è uguale a ""-cdl"" o è uguale a ""-strict"" la variabile strict la poniamo a true. Se token è uguale a ""-v"" ed abbiamo altri token a disposizione, la variabile varNames è uguale al prossimo token. Se token è uguale a ""-datasetname"" ed abbiamo token a disposizione, la variabile fakeDataset prende il prossimo token, se la lunghezza di fakeDataset è uguale a 0 poniamo la variabile a null; altrimenti se non è uguale a null, poniamo trueDataset uguale alla posizione della variabile nc e settiamo poi la variabile nc uguale alla posizione di fakeDataset",05:50:00,False
10,1.java,"Prendiamo tutti i file e li salviamo in un array File, se risulta vuoto lanciamo un eccezione. Se non è la radice e la lunghezza dell`array file è uguale a 0 allora ci salviamo l`ultima modifica del file, se risulta essere maggiore di persistMinutes, cancelliamo la cartella altrimenti lanciamo un eccezione. Se la variabile Formatter non è nulla, allora formattiamo tutti i log. Scorriamo tutti i file presenti nell'array file e richiamiamo ricorsivamente la funzione se incontriamo una cartella. Se incontriamo un file, ci salviamo l'ultima modifica effettuata su di esso e se risulta essere maggiore di persistMinutes allora cancelliamo il file. Se la rimozione non è andata a buon fine lanciamo un eccezione altrimenti formattiamo i log",05:30:00,False
11,3.java,"Se hashKey è nulla proviamo ad usare un altra chiave alternativa ovvero location.trueurl, se nel caso fosse ancora nulla allora solleviamo un eccezione.  Se trackAll è attivo allora manteniamo traccia di quanti accessi e mancati accessi ci sono nella cache per ogni chiave, usiamo un oggetto di tipo Tracker associato alla chiave e se già esiste allora lo andiamo a riutilizzare. Cerchiamo poi nella chace un file con quella stessa hashkey, se lo troviamo incrementiamo il contatore di hit e lo restituiamo subito altrimenti se il file non è in chace andiamo a registrare una chace miss aprendo il file tramite factory.open. Se il loggin è attivo stampiamo dei messaggi di log con informazioni sulla chace e sulla chiave. Se l'operazione viene annullata, chiudiamo il file e ritorniamo null. Se la chace è disabilitata ritorniamo il file aperto ma non lo inseriamo nella chace, altrimenti lo aggiungiamo ",04:47:00,False
